년도	분기	표준코드	분류	지점_명칭	지점_주소	심도	심도구분	수위	pH	EC	DO	ORP	T	Na+	K+	Ca2+	Mg2+	염소이온	황산이온	중탄산염이온	탄산염이온	질산염이온	질산성질소	카드뮴	비소	시안	수은	페놀	납	크롬	TCE	PCE	1.1.1-TCE	벤젠	톨루엔	에틸벤젠	크실렌	총대장균군	탁도
2013	3분기	GN-URG-E1-0004	하수처리시설	의령무전	경남 의령군 의령읍 무전리 78번지	160	3	기존공	6.4	653	2.7	58	17.3	32	1	96	13.5	23.3	133.5	220	불검출	5.2	1.2	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.91
2013	3분기	GW-JSN-E1-0013	폐광산	정선남면	강원도 정선군 남면 낙동리 336-9	7.5	1	4.28	7.5	397	6.2	134	16	5.7	2	60.4	7.7	10.5	83	99	불검출	10.1	2.3	불검출	0.006	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.06
2013	3분기	GW-JSN-E1-0014	폐광산	정선남면	강원도 정선군 남면 낙동리 336-9	27	2	4.25	7.6	383	6.5	133	15.9	5.2	1.9	59.8	7.5	9.7	68.6	107	불검출	9.6	2.2	불검출	0.008	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.08
2013	3분기	GW-JSN-E1-0009	폐광산	정선봉산	강원도 정선군 임계면 봉산리 241-18	10	1	4.79	6.5	308	4.7	148	14.7	10.8	5.2	35.2	5.8	9	17.8	107	불검출	21.3	4.8	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.08
2013	3분기	GW-JSN-E1-0010	폐광산	정선봉산	강원도 정선군 임계면 봉산리 241-18	30	2	4.84	7.2	421	4.6	130	12.9	22.5	3.6	41	6.5	18	24.5	133	불검출	22.3	5	불검출	0.005	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.92
2013	3분기	GW-JSN-E1-0011	폐광산	정선용산	강원도 정선군 임계면 용산2리 536	10	1	4.23	7.2	408	5	110	12.1	12.5	2.4	49.7	7.9	13.1	21	130	불검출	44.3	10	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.4
2013	3분기	GW-JSN-E1-0012	폐광산	정선용산	강원도 정선군 임계면 용산2리 536	30	2	7.53	8.2	392	5.2	103	11.5	25.1	10.3	33.7	6.5	12	20.7	135	불검출	28.7	6.5	불검출	0.005	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	6.04
2013	3분기	GW-JSN-E1-0007	폐광산	정선임계	강원도 정선군 임계면 송계리 773-1	10	1	3.84	6	268	4	175	15.9	9.9	3.7	29	5.2	13.9	15.3	70	불검출	26.2	5.9	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.06
2013	3분기	GW-JSN-E1-0008	폐광산	정선임계	강원도 정선군 임계면 송계리 773-1	34	2	10.49	8	688	1	131	13	124.9	6.2	17.8	6.3	33.6	10.9	308	불검출	14.7	3.3	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	20.9
2013	3분기	CB-GPN-E1-0001	산업단지	증평미암	충북 증평군 증평읍 미암리 603	100	3	2.42	6.8	251	5.4	226	15.2	18.4	2	17.7	5.7	14.4	12.1	69	불검출	21.6	4.9	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	23	0.36
2013	3분기	GN-HIN-E1-0004	산업단지	진주상평	경남 진주시 상평동 268-2	10	1	5.5	6.5	407	3.1	226	19.8	33.7	4.3	40	4.8	39	23.2	67	불검출	73.9	16.7	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	6.83
2013	3분기	GN-HIN-E1-0005	산업단지	진주상평	경남 진주시 상평동 268-2	29	2	5.68	6.6	299	0.6	231	17.6	26.2	1.5	23.5	8.2	28.7	14.5	65	불검출	35.9	8.1	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	0.23
2013	3분기	GN-HIN-E1-0014	하수처리시설	진주소문	경남 진주시 문산읍 소문리 786-1번지	111	3	기존공	7.5	485	0.7	130	21.9	50.7	1.2	50.4	6.3	23.6	63.3	182	불검출	2.1	0.5	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.35
2013	3분기	GN-HIN-E1-0006	폐광산	진주지수	경남 진주시 지수면 청원리 411-2	15	1	11	6.8	599	5.4	242	15.7	29.4	1.9	71	21	76.2	35.2	159	불검출	35.9	8.1	불검출	불검출	-	-	-	불검출	불검출	-	-	-	-	-	-	-	<2	0.11
2013	3분기	GN-HIN-E1-0007	폐광산	진주지수	경남 진주시 지수면 청원리 411-2	29	2	11.5	6.6	585	4.7	287	15.7	27.4	1.8	71.4	20.8	66.6	35.1	168	불검출	33.3	7.5	불검출	불검출	-	-	-	불검출	불검출	-	-	-	-	-	-	-	<2	0.21
2013	3분기	CB-JIC-E1-0007	산업단지	진천광혜원	충북 진천군 광혜원면 광혜원리	140	3	기존공	6.2	498	2.8	90	16.5	25.2	3.7	35.6	12.7	60.9	7.9	122	불검출	2.6	0.6	불검출	불검출	-	불검출	-	불검출	0.02	-	-	-	불검출	0.005	불검출	불검출	<2	75
